CrochetCrochetCrochet (C3) — Gap Analysis Register,,,,,,,,,,,,
Gap ID,C3 Control ID,Control Name,Domain,Gap Description,Risk Impact,Priority,Remediation Action,Owner,Target Date,Remediation Status,Actual Close Date,Notes
Auto-assigned,From Control Matrix,From Control Matrix,From Control Matrix,What specifically is missing or broken?,What could go wrong if this gap isn't addressed?,High / Medium / Low,What specific steps will close this gap?,Who is responsible for remediation?,YYYY-MM-DD,Open / In Progress / Closed,YYYY-MM-DD (when closed),Any additional context or blockers.
C3-GAP-001,C3-CTL-001,Access Control Policy,Access Control,,,,,,,,,
C3-GAP-002,C3-CTL-002,Identity Management,Access Control,,,,,,,,,
C3-GAP-003,C3-CTL-003,Authentication Information,Access Control,,,,,,,,,
C3-GAP-004,C3-CTL-004,Access Rights,Access Control,,,,,,,,,
C3-GAP-005,C3-CTL-005,Information Access Restriction,Access Control,,,,,,,,,
C3-GAP-006,C3-CTL-006,Secure Authentication,Access Control,,,,,,,,,
C3-GAP-007,C3-CTL-007,Policies for Information Security,Governance,,,,,,,,,
C3-GAP-008,C3-CTL-008,Legal & Regulatory Requirements,Compliance,,,,,,,,,
C3-GAP-009,C3-CTL-009,Privacy and Protection of PII,Privacy,,,,,,,,,
C3-GAP-010,C3-CTL-010,Asset Inventory,Asset Management,,,,,,,,,
C3-GAP-011,C3-CTL-011,Classification of Information,Asset Management,,,,,,,,,
C3-GAP-012,C3-CTL-012,Security Awareness Training,People,,,,,,,,,
C3-GAP-013,C3-CTL-013,Responsibilities After Termination,People,,,,,,,,,
C3-GAP-014,C3-CTL-014,Equipment Siting and Protection,Physical Security,,,,,,,,,
C3-GAP-015,C3-CTL-015,Protection Against Malware,Operations,,,,,,,,,
C3-GAP-016,C3-CTL-016,Management of Technical Vulnerabilities,Operations,,,,,,,,,
C3-GAP-017,C3-CTL-017,Configuration Management,Operations,,,,,,,,,
C3-GAP-018,C3-CTL-018,Logging,Operations,,,,,,,,,
C3-GAP-019,C3-CTL-019,Monitoring Activities,Operations,,,,,,,,,
C3-GAP-020,C3-CTL-020,Use of Cryptography,Cryptography,,,,,,,,,
C3-GAP-021,C3-CTL-021,User Endpoint Devices,Endpoint Security,,,,,,,,,
C3-GAP-022,C3-CTL-022,Information Security in Supplier Relationships,Supplier Management,,,,,,,,,
C3-GAP-023,C3-CTL-023,Information Security for Use of Cloud Services,Supplier Management,,,,,,,,,
C3-GAP-024,C3-CTL-024,Incident Management Planning,Incident Management,,,,,,,,,
C3-GAP-025,C3-CTL-025,Information Security Event Reporting,Incident Management,,,,,,,,,
C3-GAP-026,C3-CTL-026,Information Security During Disruption,Business Continuity,,,,,,,,,
C3-GAP-027,C3-CTL-027,Secure Development Life Cycle,Secure Development,,,,,,,,,
C3-GAP-028,C3-CTL-028,Access to Source Code,Secure Development,,,,,,,,,
C3-GAP-029,C3-CTL-029,Information Deletion,Data Management,,,,,,,,,
C3-GAP-030,C3-CTL-030,Data Leakage Prevention,Data Management,,,,,,,,,
